[2025-08-20 17:44:09] - logger:_log - INFO - Logger initialized. Logs will be saved to c:\Users\ss255385\OneDrive - Teradata Corporation\Desktop\AMuRD-Iteration-7\src\logs\borai_20250820_174409.log
[2025-08-20 17:44:13] - logger:_log - INFO - TeradataDatabase instance initialized
[2025-08-20 17:44:13] - logger:_log - INFO - Operation 'Database connection' started - Details: {'host': 'iteration7-gwyyqrtdecxxq4xk.env.clearscape.teradata.com', 'database': 'demo_user'}
[2025-08-20 17:44:18] - logger:_log - INFO - Operation 'Database connection' completed
[2025-08-20 17:45:05] - logger:_log - INFO - Operation 'Query execution' started - Details: {'query': 'Select * from demo_user.products'}
[2025-08-20 17:45:12] - logger:_log - INFO - Operation 'Query execution' completed - Details: {'rows_returned': 37584}
[2025-08-20 17:45:12] - SentenceTransformer:__init__ - INFO - Load pretrained SentenceTransformer: Qwen/Qwen3-Embedding-8B
[2025-08-20 17:45:12] - connectionpool:_new_conn - DEBUG - Starting new HTTPS connection (1): huggingface.co:443
[2025-08-20 17:45:12] - connectionpool:_make_request - DEBUG - https://huggingface.co:443 "HEAD /Qwen/Qwen3-Embedding-8B/resolve/main/modules.json HTTP/1.1" 307 0
[2025-08-20 17:45:13] - connectionpool:_make_request - DEBUG - https://huggingface.co:443 "HEAD /api/resolve-cache/models/Qwen/Qwen3-Embedding-8B/1d8ad4ca9b3dd8059ad90a75d4983776a23d44af/modules.json HTTP/1.1" 200 0
[2025-08-20 17:45:13] - connectionpool:_make_request - DEBUG - https://huggingface.co:443 "HEAD /Qwen/Qwen3-Embedding-8B/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
[2025-08-20 17:45:13] - connectionpool:_make_request - DEBUG - https://huggingface.co:443 "HEAD /api/resolve-cache/models/Qwen/Qwen3-Embedding-8B/1d8ad4ca9b3dd8059ad90a75d4983776a23d44af/config_sentence_transformers.json HTTP/1.1" 200 0
[2025-08-20 17:45:13] - connectionpool:_make_request - DEBUG - https://huggingface.co:443 "HEAD /Qwen/Qwen3-Embedding-8B/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
[2025-08-20 17:45:14] - connectionpool:_make_request - DEBUG - https://huggingface.co:443 "HEAD /api/resolve-cache/models/Qwen/Qwen3-Embedding-8B/1d8ad4ca9b3dd8059ad90a75d4983776a23d44af/config_sentence_transformers.json HTTP/1.1" 200 0
[2025-08-20 17:45:14] - connectionpool:_make_request - DEBUG - https://huggingface.co:443 "HEAD /Qwen/Qwen3-Embedding-8B/resolve/main/README.md HTTP/1.1" 307 0
[2025-08-20 17:45:14] - connectionpool:_make_request - DEBUG - https://huggingface.co:443 "HEAD /api/resolve-cache/models/Qwen/Qwen3-Embedding-8B/1d8ad4ca9b3dd8059ad90a75d4983776a23d44af/README.md HTTP/1.1" 200 0
[2025-08-20 17:45:14] - connectionpool:_make_request - DEBUG - https://huggingface.co:443 "HEAD /Qwen/Qwen3-Embedding-8B/resolve/main/modules.json HTTP/1.1" 307 0
[2025-08-20 17:45:14] - connectionpool:_make_request - DEBUG - https://huggingface.co:443 "HEAD /api/resolve-cache/models/Qwen/Qwen3-Embedding-8B/1d8ad4ca9b3dd8059ad90a75d4983776a23d44af/modules.json HTTP/1.1" 200 0
